Year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
2021,Estimated,Social Development,Education,Operating,13090,0.026
2021,Estimated,Social Development,Education,Development,530,0.001
2021,Estimated,Social Development,National Development,Operating,4149,0.008
2021,Estimated,Social Development,National Development,Development,1380,0.003
2021,Estimated,Social Development,Health,Operating,17355,0.034
2021,Estimated,Social Development,Health,Development,1490,0.003
2021,Estimated,Social Development,Sustainability and the Environment,Operating,1849,0.004
2021,Estimated,Social Development,Sustainability and the Environment,Development,1055,0.002
2021,Estimated,Social Development,"Culture, Community and Youth",Operating,1914,0.004
2021,Estimated,Social Development,"Culture, Community and Youth",Development,358,0.001
2021,Estimated,Social Development,Social and Family Development,Operating,4014,0.008
2021,Estimated,Social Development,Social and Family Development,Development,99,0
2021,Estimated,Social Development,Communications and Information,Operating,590,0.001
2021,Estimated,Social Development,Communications and Information,Development,39,0
2021,Estimated,Social Development,Manpower,Operating,1556,0.003
2021,Estimated,Social Development,Manpower,Development,4,0
2021,Estimated,Security and External Relations,Defence,Operating,14803,0.029
2021,Estimated,Security and External Relations,Defence,Development,558,0.001
2021,Estimated,Security and External Relations,Home Affairs,Operating,6544,0.013
2021,Estimated,Security and External Relations,Home Affairs,Development,1332,0.003
2021,Estimated,Security and External Relations,Foreign Affairs,Operating,421,0.001
2021,Estimated,Security and External Relations,Foreign Affairs,Development,13,0
2021,Estimated,Economic Development,Manpower,Operating,5519,0.011
2021,Estimated,Economic Development,Manpower,Development,98,0
2021,Estimated,Economic Development,Transport,Operating,4051,0.008
2021,Estimated,Economic Development,Transport,Development,7015,0.014
2021,Estimated,Economic Development,Trade and Industry,Operating,2052,0.004
2021,Estimated,Economic Development,Trade and Industry,Development,5123,0.01
2021,Estimated,Economic Development,Info-Communications and Media Development,Operating,790,0.002
2021,Estimated,Economic Development,Info-Communications and Media Development,Development,22,0
2021,Estimated,Government Administration,Finance,Operating,1928,0.004
2021,Estimated,Government Administration,Finance,Development,140,0
2021,Estimated,Government Administration,Law,Operating,261,0.001
2021,Estimated,Government Administration,Law,Development,220,0
2021,Estimated,Government Administration,Organs of State,Operating,607,0.001
2021,Estimated,Government Administration,Organs of State,Development,104,0
2021,Estimated,Government Administration,Prime Minister's Office,Operating,973,0.002
2021,Estimated,Government Administration,Prime Minister's Office,Development,293,0.001
